Région,Département,Entreprise,Projet,Ville
Auvergne-Rhône-Alpes,Allier,Imerys,Projet de mine souterraine de lithium visant à produire 34 000 tonnes d’hydroxyde de lithium par an pour soutenir la filière des véhicules électriques,Échassières
Auvergne-Rhône-Alpes,Ain,Safran,"Usine de freins carbone : projet d’usine de production de freins carbone pour l’aéronautique, avec une mise en service prévue à l’horizon 2030",Feyzin / Saint-Vulbas
Auvergne-Rhône-Alpes,Ardèche,Schneider Electric,"Investissements industriels pour soutenir les marchés de l’énergie, du nucléaire et des datacenters",Privas
Auvergne-Rhône-Alpes,Drôme,Sesterce,Data center – Projet de centre de données nouvelle génération,Rochefort-en-Valdaine
Auvergne-Rhône-Alpes,Isère,MagREEsource,Mag Factory : projet industriel de fabrication d’aimants permanents recyclés pour renforcer la souveraineté européenne,Noyarey
Auvergne-Rhône-Alpes,Isère,DataOne - Oreus - Core 42,Data center,Grenoble
Auvergne-Rhône-Alpes,Loire,Urgo,Construction d’un site de production de textile médical de pointe dédié à la compression médicale,Veauche
Auvergne-Rhône-Alpes,Rhône,Derichebourg,Projet de recyclage de ballons d’eau chaude avec valorisation des matériaux et réduction des émissions de CO₂,Saint-Symphorien-d'Ozon
Bourgogne-Franche-Comté,Nièvre,Bordet,Développement d’un site de production de charbon végétal,Cercy-la-Tour
Bourgogne-Franche-Comté,Saône-et-Loire,Jimmy Energy,Réacteur nucléaire innovant : développement d’un petit réacteur pour produire de la chaleur industrielle décarbonée,Le Creusot
Bourgogne-Franche-Comté,Saône-et-Loire,Fiat Powrtrain,Conception de moteurs pour camions et engins agricoles,Bourbon-Lancy
Bourgogne-Franche-Comté,Yonne,Prysmian,CAPA-PILASER – Extension d’un site de production de câbles électriques pour accompagner l’électrification,Paron / Gron
Bretagne,Ille-et-Vilaine,Cailabs,Construction d’un site industriel pour produire des stations de communication laser,Rennes
Bretagne,Côte d'Armor,Cooperl,Production de biocarburants,Lamballe
Bretagne,Finistère,LDC,Création d'une usine d'abattage de volaille,Châteaulin
Bretagne,Morbihan,Sigmaphi,Construction d'une nouvelle usine d'assemblage d'aimants,Vannes
Centre-Val de Loire,Cher,MBDA,Agrandissement,Bourges
Centre-Val de Loire,Cher,KNDS,Agrandissement,Bourges
Centre-Val de Loire,Indre,Google,Data center,Déols / Châteauroux
Centre-Val de Loire,Loiret,Intact,Création d'une usine d'ingrédients protéiques végétaux innovants,Baudreville
Centre-Val de Loire,Loiret,Thales,Augmentation de la capacité de production,Fleury-les-Aubrais
Centre-Val de Loire,Loir-et-Cher,Barbas & Plailly,Augmentation de la capacité de production,Romorantin-Lanthenay
Centre-Val de Loire,Loir-et-Cher,Aresia,Extension de site,Saint-Laurent-des-Bois
Centre-Val de Loire,Eure et Loir,Bertin technologies,Modernisation et développement,Thiron-Gardais
Grand Est,Bas-Rhin,Arverne,Extraction directe de lithium,Rittershoffen
Grand Est,Haut-Rhin,EDF,Technocentre de Fessenheim : usine de recyclage de métaux faiblement radioactifs issus du nucléaire,Fessenheim
Grand Est,Meurthe-et-Moselle,Carbios,Usine de biorecyclage – Première usine mondiale de recyclage,Longlaville
Grand Est,Moselle,Eclairion,Datacenters La Maxe et Richemont – Projet de supercalculateurs et centres de données,La Maxe et Richemont
Grand Est,Moselle,Holosolis,Gigafactory photovoltaïque – Production de panneaux solaires à grande échelle,Hambach
Grand Est,Moselle,CIRC,Usine de recyclage textile – Recyclage et valorisation de textiles complexes,Saint-Avold
Hauts de France,Aisne,Verso Energy,Production de biocarburants,Tergnier
Hauts de France,Nord,Axens,Production de matériaux cathodiques pour batteries,Dunkerque
Hauts de France,Nord,Crystalrod,Usine d’aluminium – Recyclage et transformation de câbles en aluminium,Dunkerque
Hauts de France,Nord,Arcelor Mittal,Four électrique,Dunkerque
Hauts de France,Nord,Windrose Technology,Production de camions électriques,Dunkerque
Hauts de France,Pas-de-Calais,Nexans,Nexagreen : production de cuivre recyclé pour câbles bas carbone,Lens
Hauts de France,Somme,Fertighy,Construction d'une usine de production d'engrais à faible émission de carbone,Languevoisin-Quiquery / Nesle
Ile-de-France,Essonne,Eclairion,Infrastructure dédiée au calcul intensif et aux data centers,Bruyères-le-Châtel
Ile-de-France,Essonne,Harmattan AI,Usine de production de drones,Saclay / Palaiseau
Ile-de-France,Hauts-de-Seine,Mersen France,Augmentation de la production,Gennevilliers
Ile-de-France,Paris,Wandercraft,Production de robots pour la santé et l'industrie automobile,Paris
Ile-de-France,Seine-et-Marne,MGX,Projet de centre de données,Bussy-Saint-Georges
Ile-de-France,Seine-et-Marne,Opcore,Projet de centre de données porté avec Iliad,Bussy-Saint-Georges
Ile-de-France,Val d'Oise,Derichebourg,Recyclage de batteries de véhicules électriques,Saint-Ouen-l'Aumône
Ile-de-France,Val d'Oise,Semmaris,Pôle agroalimentaire complémentaire,Gonesse
Ile-de-France,Yvelines,Solmax,Regrouper et décarboner des productions,Mantes-la-Jolie
Ile-de-France,Yvelines,Soredab,Extension de son site R&D,La Verrière
Normandie,Calvados,Tertu,Production de biocarburants,Villedieu-les-Poêles
Normandie,Eure,MaiaSpace,Usine de production de lanceurs spaciaux réutilisables,Vernon
